1,Be a little bit wiser baby,https://en.wikipedia.org/wiki/2_Become_1
1,"one love, one life",https://en.wikipedia.org/wiki/One_(U2_song)
3,I'm a drunk,https://en.wikipedia.org/wiki/The_Three_Musketeers_(2011_film)
3,Life is a race,https://en.wikipedia.org/wiki/3_Idiots
5,"The next woman I marry, she gotta have two jobs",https://en.wikipedia.org/wiki/Five_Long_Years
5,Multi Pass,https://en.wikipedia.org/wiki/The_Fifth_Element
6,I don't mind,https://en.wikipedia.org/wiki/If_6_Was_9
6,I see dead people,https://en.wikipedia.org/wiki/The_Sixth_Sense
6,"You take every fucking feeling you have, put it in a box and bury it",https://en.wikipedia.org/wiki/Six_Feet_Under_(TV_series)
7,"shaken, not stirred",https://en.wikipedia.org/wiki/James_Bond
7,Go back home,https://en.wikipedia.org/wiki/Seven_Nation_Army
7,I won't deny my own personal desire to turn each sin against the sinner,https://en.wikipedia.org/wiki/Seven_(1995_film)
8,"Love you every day, girl",https://en.wikipedia.org/wiki/Eight_Days_a_Week
8,Free comes with a d*ck up your a**,https://en.wikipedia.org/wiki/8_Mile_(film)
8,I have all these voices in my head,https://en.wikipedia.org/wiki/Sense8
9,I started kissing everything in sight,https://en.wikipedia.org/wiki/Love_Potion_No._9_(song)
9,Was there a second date that I'm not aware of?,https://en.wikipedia.org/wiki/Love_Potion_No._9_(film)
11,Don't use seven words when four will do,https://en.wikipedia.org/wiki/Ocean%27s_Eleven
12,"There's no right, there's no wrong, there's only popular opinion",https://en.wikipedia.org/wiki/12_Monkeys
12,I will not fall into despair,https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)
13,Houston - we have a problem!,https://en.wikipedia.org/wiki/Apollo_13_(film)
21,Your brain is like a goddamn Pentium chip,https://en.wikipedia.org/wiki/21_(2008_film)
23,There's no such thing as destiny,https://en.wikipedia.org/wiki/The_Number_23
24,I have killed two people since midnight,https://en.wikipedia.org/wiki/24_(TV_series)
25,I am feeling a little peculiar,https://en.wikipedia.org/wiki/What%27s_Up%3F_(4_Non_Blondes_song)
27,I feel like I just found out my favorite love song was written about a sandwich,https://en.wikipedia.org/wiki/27_Dresses
28,There is no government,https://en.wikipedia.org/wiki/28_Days_Later
34,Faith is believing in something when common sense tells you not to,https://en.wikipedia.org/wiki/Miracle_on_34th_Street
39,Fated to be Mated with the One Man She Hated,https://en.wikipedia.org/wiki/The_39_Steps_(1935_film)
40,I'm a virgin,https://en.wikipedia.org/wiki/The_40-Year-Old_Virgin
42,I'm not goin' anywhere!,https://en.wikipedia.org/wiki/42_(film)
46,Change is coming through my shadow,https://en.wikipedia.org/wiki/Forty_Six_%26_2
50,Don't get your panties in such a twist ...,https://en.wikipedia.org/wiki/Fifty_Shades_of_Grey
53,Herbie go!,https://en.wikipedia.org/wiki/Herbie
54,Let's go party,https://en.wikipedia.org/wiki/Studio_54
55,he always manages to give the impression that God must be an Englishman,https://en.wikipedia.org/wiki/55_Days_at_Peking
60,"No, no, no no no ...",https://en.wikipedia.org/wiki/Interstate_60
66,girls stink,https://en.wikipedia.org/wiki/Buffalo_%2766
69,the best days of my life,https://en.wikipedia.org/wiki/Summer_of_%2769
73,You're a man after my own stamp,https://en.wikipedia.org/wiki/Winchester_%2773
77,The shortest distance between two places is a telephone,https://en.wikipedia.org/wiki/77_Sunset_Strip
80,rules are made to be broken,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(2004_film)
84,I'm a poor writer with an antiquarian taste in books,https://en.wikipedia.org/wiki/84_Charing_Cross_Road_(film)
88,"psychiatrist by day, party animal by night",https://en.wikipedia.org/wiki/88_Minutes
99,Everyone's a superhero,https://en.wikipedia.org/wiki/99_Luftballons
100,life in a space station,https://en.wikipedia.org/wiki/The_100_(TV_series)
101,£2 per spot,https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film)
127,Every Second Counts,https://en.wikipedia.org/wiki/127_Hours
227,it's a middle-class life,https://en.wikipedia.org/wiki/227_(TV_series)
300,THIS IS... SPARTA!!!,https://en.wikipedia.org/wiki/300_(film)
400,I have no socks left around these holes,https://en.wikipedia.org/wiki/The_400_Blows
500,loneliness is underrated,https://en.wikipedia.org/wiki/500_Days_of_Summer
555,It was complete madness,https://en.wikipedia.org/wiki/Bohemian_Rhapsody
800,Does the insurance on the rental car cover getting smashed by a sculpture?,https://en.wikipedia.org/wiki/800_Words
1000,The bogeyman is real and you found him,https://en.wikipedia.org/wiki/House_of_1000_Corpses
1114,How 'bout the p*n*s?,https://en.wikipedia.org/wiki/11:14
1138,Visit the future where love is the ultimate crime,https://en.wikipedia.org/wiki/THX_1138
1408,"Even if you leave this room, you can never leave this room!",https://en.wikipedia.org/wiki/1408_(short_story)
1600,She was a casualty of war!,https://en.wikipedia.org/wiki/Murder_at_1600
1900,November is the cruelest month of the year,https://en.wikipedia.org/wiki/1900_(film)
1900,Fuck the regulations!,https://en.wikipedia.org/wiki/The_Legend_of_1900
1984,"Promiscuity went unpunished, divorce was permitted",https://en.wikipedia.org/wiki/Nineteen_Eighty-Four
1999,"We're all aliens, until we get to know one another",https://en.wikipedia.org/wiki/Space:_1999
2001,I am putting myself to the fullest possible use,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film)
2010,USE THEM IN PEACE,https://en.wikipedia.org/wiki/2010:_The_Year_We_Make_Contact
2012,"Oh God, I'm a dead man …",https://en.wikipedia.org/wiki/2012_(film)
2046,All Memories Are Traces of Tears,https://en.wikipedia.org/wiki/2046_(film)
2511,The trouble with these international affairs is they attract foreigners,https://en.wikipedia.org/wiki/Those_Magnificent_Men_in_Their_Flying_Machines
3000,"Mornin', Mike!",https://en.wikipedia.org/wiki/Mystery_Science_Theater_3000:_The_Movie
4400,I wanna be normal,https://en.wikipedia.org/wiki/The_4400
5050,I’m sorry I was such an a**hole,https://en.wikipedia.org/wiki/50/50_(2011_film)
5555,"Harder, Better, Faster, Stronger",https://en.wikipedia.org/wiki/Interstella_5555:_The_5tory_of_the_5ecret_5tar_5ystem
10000,Do not eat me when I set you free!,"https://en.wikipedia.org/wiki/10,000_BC_(film)"
10759,let go of old patterns and embrace a new life,"https://en.wikipedia.org/wiki/10,000_Days_(Tool_album)"
20000,it is evidently a gigantic narwhal,https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas
37000,You need a parachute,"https://en.wikipedia.org/wiki/The_Horror_at_37,000_Feet"
64000,Just answer the question,"https://en.wikipedia.org/wiki/The_$64,000_Question"
90210,And we protect your Earth!,"https://en.wikipedia.org/wiki/Beverly_Hills,_90210"
128000,money for answers,"https://en.wikipedia.org/wiki/The_$128,000_Question"
1000000,I wish I could live a little more,https://en.wikipedia.org/wiki/Million_Years_Ago_(song)
1000000,Who Has An Itch To Be Filthy Rich?,https://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire%3F
