1,Number One,https://en.wikipedia.org/wiki/William_Riker
11,Captain Kirk on trial,https://en.wikipedia.org/wiki/Court_Martial_(Star_Trek:_The_Original_Series)
19,mass murderer Dr. McCoy?,https://en.wikipedia.org/wiki/Albatross_(Star_Trek:_The_Animated_Series)
31,intelligence and defense,https://en.wikipedia.org/wiki/Section_31_(Star_Trek)
36,the 36-hours fetus,https://en.wikipedia.org/wiki/The_Child_(Star_Trek:_The_Next_Generation)
48,48 minutes to save them,https://en.wikipedia.org/wiki/Angel_One
63,a guardian of the Tkon Empire,https://en.wikipedia.org/wiki/The_Last_Outpost_(Star_Trek:_The_Next_Generation)
84,"72 alive in suspended animation, 12 perished",https://en.wikipedia.org/wiki/Space_Seed
90,caught in time,https://en.wikipedia.org/wiki/Cause_and_Effect_(Star_Trek:_The_Next_Generation)
177,good vs. evil,https://en.wikipedia.org/wiki/The_Enemy_Within_(Star_Trek:_The_Original_Series)
194,code name Gary Seven,https://en.wikipedia.org/wiki/Assignment:_Earth
196,it keeps exploding,https://en.wikipedia.org/wiki/Evolution_(Star_Trek:_The_Next_Generation)
283,very old remains,https://en.wikipedia.org/wiki/The_Royale
312,a quasar-like formation,https://en.wikipedia.org/wiki/The_Galileo_Seven
321,off to Eminiar VII in NGC 321,https://en.wikipedia.org/wiki/A_Taste_of_Armageddon
350,the peak of the Federation,https://en.wikipedia.org/wiki/United_Federation_of_Planets
392,trapped by a glowing entity composed of pure energy,https://en.wikipedia.org/wiki/Day_of_the_Dove
400,400 Vulcans in fear,https://en.wikipedia.org/wiki/The_Immunity_Syndrome_(Star_Trek:_The_Original_Series)
650,over 650 Cardassians killed,https://en.wikipedia.org/wiki/The_Wounded_(Star_Trek:_The_Next_Generation)
892,"I'm trying to thank you, you pointy-eared hobgoblin!",https://en.wikipedia.org/wiki/Bread_and_Circuses_(Star_Trek:_The_Original_Series)
900,Hip hip hoorah. Tallyho!,https://en.wikipedia.org/wiki/The_Squire_of_Gothos
917,on Holberg 917-G,https://en.wikipedia.org/wiki/Requiem_for_Methuselah
990,990.7 light years away,https://en.wikipedia.org/wiki/That_Which_Survives
1000,living a long life,https://en.wikipedia.org/wiki/The_Omega_Glory
1014,"the Enterprise's current population: 1,014",https://en.wikipedia.org/wiki/Remember_Me_(Star_Trek:_The_Next_Generation)
1701,like the USS Enterprise (NCC-1701),https://en.wikipedia.org/wiki/USS_Enterprise_(NCC-1701)
2000,Psi is dying,https://en.wikipedia.org/wiki/The_Naked_Time
2005,naked with an IQ of 2005,https://en.wikipedia.org/wiki/Deja_Q
2161,"Ex astris, scientia",https://en.wikipedia.org/wiki/Starfleet_Academy
2230,an unlikely sex symbol is born,https://en.wikipedia.org/wiki/Spock
2335,La Forge is born,https://en.wikipedia.org/wiki/Geordi_La_Forge
2338,a sex symbol is activated,https://en.wikipedia.org/wiki/Data_(Star_Trek)
2893,USS Stargazer,https://en.wikipedia.org/wiki/Star_Trek:_Stargazer
3259,live long and prosper,https://en.wikipedia.org/wiki/Vulcan_(Star_Trek)
4000,one of nine survivors,https://en.wikipedia.org/wiki/James_T._Kirk
5000,a barbaric Spock in ice age,https://en.wikipedia.org/wiki/All_Our_Yesterdays_(Star_Trek:_The_Original_Series)
6000,greetings from the past,https://en.wikipedia.org/wiki/The_Return_of_the_Archons
10000,the descendants of the Fabrini,https://en.wikipedia.org/wiki/For_the_World_Is_Hollow_and_I_Have_Touched_the_Sky
10998,only two survivors,https://en.wikipedia.org/wiki/The_Survivors_(Star_Trek:_The_Next_Generation)
11000,all dead because of Picard?,https://en.wikipedia.org/wiki/The_Drumhead
15253,the descendants of the Artemis,https://en.wikipedia.org/wiki/The_Ensigns_of_Command
15311,"protecting 15,311 Lysians",https://en.wikipedia.org/wiki/Conundrum_(Star_Trek:_The_Next_Generation)
15525,"15,525 possible contaminants",https://en.wikipedia.org/wiki/Hollow_Pursuits
27346,disappearing starships,https://en.wikipedia.org/wiki/The_Lorelei_Signal
40000,"Beam me up, Scotty",https://en.wikipedia.org/wiki/Transporter_(Star_Trek)
45944,one lifetime in 25 minutes,https://en.wikipedia.org/wiki/The_Inner_Light_(Star_Trek:_The_Next_Generation)
47988,when it all ends …,https://en.wikipedia.org/wiki/All_Good_Things..._(Star_Trek:_The_Next_Generation)
50000,NO KILL I,https://en.wikipedia.org/wiki/The_Devil_in_the_Dark
74656,USS Voyager (NCC-74656),https://en.wikipedia.org/wiki/USS_Voyager_(Star_Trek)
75000,low budget Star Trek,https://en.wikipedia.org/wiki/Star_Trek:_The_Animated_Series
88347,Spock to Chekov,https://en.wikipedia.org/wiki/The_Paradise_Syndrome
196721,"""dif-tor heh smusma"" 1967-2-1",https://en.wikipedia.org/wiki/Vulcan_salute
200000,you couldn't sell fake patents to your mother,"https://en.wikipedia.org/wiki/I,_Mudd"
231000,a very expensive phaser,https://en.wikipedia.org/wiki/Weapons_in_Star_Trek
285000,"285,000 hails and innumerable Enterprises",https://en.wikipedia.org/wiki/Parallels_(Star_Trek:_The_Next_Generation)
300000,Where No Man Has Gone Before,https://en.wikipedia.org/wiki/Where_No_Man_Has_Gone_Before
937215,Jean-Luc Picard: SP-937-215,https://en.wikipedia.org/wiki/Jean-Luc_Picard
